Wall time,Step,Value
1526585515,25,40.625
1526585519,57,90.625
1526585519,60,89.84375
1526585536,171,92.96875
1526585543,216,96.09375
1526585571,403,99.21875
1526585597,589,97.65625
1526585622,746,100
1526585641,884,98.4375
1526585645,905,98.4375
1526585661,1009,99.21875
1526585672,1091,96.875
1526585691,1211,100
1526585691,1216,98.4375
1526585700,1280,96.875
1526585705,1308,97.65625
1526585769,1743,98.4375
1526585774,1783,97.65625
1526585774,1786,99.21875
1526585780,1815,99.21875
1526585788,1877,98.4375
1526585790,1888,97.65625
1526585811,2026,98.4375
1526585824,2112,99.21875
1526585849,2292,97.65625
1526585854,2313,100
1526585866,2400,98.4375
1526585883,2508,100
1526585885,2526,99.21875
1526585894,2595,99.21875
1526585916,2740,98.4375
1526585931,2839,99.21875
1526585935,2866,100
1526585937,2877,96.875
1526585960,3033,100
1526585980,3173,99.21875
1526585995,3275,99.21875
1526586001,3319,100
1526586001,3320,98.4375
1526586008,3365,98.4375
1526586047,3620,98.4375
1526586065,3744,99.21875
1526586066,3745,99.21875
1526586067,3753,98.4375
1526586069,3769,99.21875
1526586082,3848,100
1526586101,3971,98.4375
1526586105,4000,100
1526586109,4021,100
1526586123,4111,97.65625
1526586144,4246,100
1526586149,4276,98.4375
1526586176,4447,100
1526586195,4569,100
1526586206,4641,97.65625
1526586254,4943,100
1526586271,5054,98.4375
1526586286,5147,100
1526586318,5347,98.4375
1526586334,5456,100
1526586345,5524,95.3125
1526586356,5597,97.65625
1526586371,5687,96.875
1526586385,5774,100
1526586435,6096,97.65625
1526586453,6206,99.21875
1526586473,6334,99.21875
1526586504,6528,99.21875
1526586558,6876,99.21875
1526586580,7010,99.21875
1526586589,7069,100
1526586607,7184,100
1526586614,7226,98.4375
1526586615,7230,100
1526586632,7338,99.21875
1526586634,7350,99.21875
1526586669,7576,98.4375
1526586671,7594,94.53125
1526586692,7720,99.21875
1526586707,7821,99.21875
1526586761,8168,96.875
1526586770,8219,100
1526586779,8280,99.21875
1526586791,8359,98.4375
1526586796,8391,100
1526586797,8398,99.21875
1526586811,8486,98.4375
1526586833,8619,100
1526586879,8911,100
1526586919,9166,99.21875
1526586929,9236,100
1526586952,9385,98.4375
1526586953,9389,100
1526586975,9524,99.21875
1526586978,9543,100
1526586992,9634,99.21875
1526586994,9648,100
1526587024,9836,100
1526587024,9839,98.4375
1526587042,9952,98.4375
1526587058,10051,98.4375
1526587061,10073,99.21875
1526587068,10114,100
1526587084,10215,100
1526587102,10328,97.65625
1526587104,10341,98.4375
1526587109,10377,100
1526587110,10380,98.4375
1526587139,10563,100
1526587144,10594,100
1526587158,10683,100
1526587178,10808,99.21875
1526587183,10841,100
1526587185,10854,99.21875
1526587191,10891,97.65625
1526587193,10901,99.21875
1526587198,10935,99.21875
1526587206,10984,99.21875
1526587209,11003,99.21875
1526587212,11020,98.4375
1526587220,11072,97.65625
1526587243,11217,99.21875
1526587247,11241,99.21875
1526587248,11251,99.21875
1526587263,11343,100
1526587275,11423,100
1526587288,11505,100
1526587304,11602,99.21875
1526587323,11722,99.21875
1526587357,11939,100
1526587381,12093,99.21875
1526587383,12102,100
1526587411,12283,99.21875
1526587411,12284,100
1526587415,12306,99.21875
1526587432,12411,97.65625
1526587445,12500,99.21875
1526587448,12513,100
1526587461,12598,100
1526587464,12612,99.21875
1526587476,12696,99.21875
1526587490,12781,100
1526587500,12841,100
1526587510,12904,97.65625
1526587511,12913,99.21875
1526587524,12998,97.65625
1526587542,13109,99.21875
1526587549,13153,100
1526587553,13179,100
1526587573,13307,100
1526587573,13309,99.21875
1526587575,13319,99.21875
1526587586,13397,100
1526587598,13470,99.21875
1526587628,13660,100
1526587640,13735,99.21875
1526587643,13758,99.21875
1526587648,13785,99.21875
1526587669,13913,100
1526587706,14152,99.21875
1526587723,14261,99.21875
1526587734,14333,99.21875
1526587759,14489,99.21875
1526587760,14496,97.65625
1526587762,14506,98.4375
1526587768,14547,98.4375
1526587782,14636,100
1526587788,14676,99.21875
1526587796,14721,99.21875
1526587803,14771,98.4375
1526587805,14783,99.21875
1526587813,14830,99.21875
1526587828,14930,99.21875
1526587829,14934,97.65625
1526587844,15030,100
1526587856,15105,98.4375
1526587858,15118,99.21875
1526587865,15163,100
1526587866,15170,100
1526587868,15183,99.21875
1526587879,15251,99.21875
1526587888,15305,100
1526587888,15308,99.21875
1526587918,15496,97.65625
1526587919,15503,99.21875
1526587924,15536,98.4375
1526587940,15637,99.21875
1526587944,15662,97.65625
1526587970,15831,98.4375
1526587978,15882,99.21875
1526588011,16098,100
1526588029,16202,96.875
1526588031,16218,98.4375
1526588052,16350,97.65625
1526588083,16548,97.65625
1526588098,16639,96.875
1526588122,16797,99.21875
1526588133,16861,98.4375
1526588224,17439,99.21875
1526588228,17464,100
1526588243,17558,99.21875
1526588244,17564,98.4375
1526588245,17572,99.21875
1526588257,17651,99.21875
1526588263,17691,99.21875
1526588277,17779,100
1526588315,18016,100
1526588323,18075,99.21875
1526588348,18232,100
1526588362,18318,100
1526588400,18559,100
1526588405,18596,99.21875
1526588415,18656,100
1526588470,19001,100
1526588515,19294,99.21875
1526588529,19379,100
1526588542,19456,100
1526588550,19508,100
1526588550,19510,100
1526588586,19734,98.4375
1526588593,19780,100
1526588600,19828,100
1526588608,19881,100
1526588609,19889,100
1526588611,19900,97.65625
1526588632,20028,99.21875
1526588671,20279,100
1526588674,20300,100
1526588679,20327,98.4375
1526588707,20501,97.65625
1526588721,20593,98.4375
1526588734,20673,100
1526588752,20786,99.21875
1526588788,21009,99.21875
1526588793,21044,100
1526588806,21124,100
1526588806,21125,100
1526588812,21161,99.21875
1526588832,21293,99.21875
1526588859,21466,99.21875
1526588889,21659,100
1526588952,22055,100
1526588956,22079,100
1526589007,22403,100
1526589009,22417,100
1526589011,22427,100
1526589027,22528,98.4375
1526589030,22545,99.21875
1526589031,22554,98.4375
1526589033,22566,98.4375
1526589054,22701,100
1526589059,22737,99.21875
1526589065,22773,98.4375
1526589093,22946,100
1526589112,23066,99.21875
1526589140,23243,99.21875
1526589169,23430,99.21875
1526589189,23557,100
1526589207,23673,99.21875
1526589255,23971,98.4375
1526589268,24056,97.65625
1526589271,24075,100
1526589288,24187,99.21875
1526589290,24195,100
1526589301,24266,98.4375
1526589315,24358,99.21875
1526589344,24536,100
1526589350,24574,97.65625
1526589352,24587,100
1526589371,24712,100
1526589373,24727,98.4375
1526589391,24837,99.21875
1526589399,24892,99.21875
1526589405,24926,99.21875
1526589411,24966,97.65625
1526589428,25075,98.4375
1526589499,25522,99.21875
1526589515,25624,100
1526589515,25627,100
1526589532,25734,100
1526589550,25850,99.21875
1526589568,25963,100
1526589583,26057,97.65625
1526589584,26063,98.4375
1526589604,26192,97.65625
1526589630,26352,100
1526589646,26457,100
1526589647,26463,100
1526589719,26922,100
1526589737,27039,99.21875
1526589741,27062,98.4375
1526589757,27165,100
1526589833,27641,98.4375
1526589846,27722,99.21875
1526589868,27861,99.21875
1526589909,28124,100
1526589926,28229,98.4375
1526589944,28344,100
1526589956,28421,99.21875
1526589981,28575,100
1526590021,28823,98.4375
1526590042,28962,100
1526590086,29236,98.4375
1526590110,29392,96.875
1526590123,29473,97.65625
1526590135,29545,100
1526590139,29571,99.21875
1526590183,29846,100
1526590200,29955,99.21875
1526590206,29997,100
1526590209,30007,100
1526590232,30157,97.65625
1526590234,30173,100
1526590245,30241,100
1526590251,30277,99.21875
1526590257,30313,100
1526590278,30450,98.4375
1526590280,30459,98.4375
1526590303,30604,99.21875
1526590306,30623,99.21875
1526590343,30861,99.21875
1526590370,31028,100
1526590390,31153,96.875
1526590398,31205,99.21875
1526590401,31224,99.21875
1526590415,31309,100
1526590418,31329,97.65625
1526590458,31589,100
1526590471,31671,100
1526590496,31825,97.65625
1526590506,31889,99.21875
1526590517,31956,99.21875
1526590519,31975,99.21875
1526590568,32281,98.4375
1526590574,32320,100
1526590581,32362,98.4375
1526590615,32575,98.4375
1526590636,32706,99.21875
1526590671,32932,99.21875
1526590680,32992,100
1526590689,33045,99.21875
1526590698,33102,100
1526590702,33128,100
1526590708,33168,99.21875
1526590729,33300,100
1526590733,33321,100
1526590736,33342,97.65625
1526590754,33460,99.21875
1526590782,33636,99.21875
1526590816,33849,98.4375
1526590826,33913,99.21875
1526590844,34024,100
1526590874,34220,100
1526590878,34244,100
1526590892,34332,100
1526590895,34352,99.21875
1526590921,34519,100
1526590939,34634,99.21875
1526590953,34718,99.21875
1526590979,34885,100
1526591023,35164,100
1526591030,35208,97.65625
1526591043,35294,98.4375
1526591046,35311,99.21875
1526591053,35354,98.4375
1526591055,35369,98.4375
1526591063,35416,99.21875
1526591087,35571,99.21875
1526591096,35631,99.21875
1526591100,35655,100
1526591102,35670,100
1526591140,35910,98.4375
1526591143,35928,100
1526591178,36153,100
1526591179,36160,99.21875
1526591210,36358,100
1526591211,36363,100
1526591216,36399,99.21875
1526591233,36502,100
1526591240,36548,100
1526591259,36666,100
1526591272,36749,99.21875
1526591279,36798,97.65625
1526591297,36907,99.21875
1526591302,36937,100
1526591314,37012,99.21875
1526591314,37015,100
1526591339,37180,100
1526591346,37219,99.21875
1526591346,37221,100
1526591383,37455,99.21875
1526591398,37552,100
