Wall time,Step,Value
1526585515,25,2.050300121
1526585519,57,1.413712859
1526585519,60,1.46039319
1526585536,171,2.17149353
1526585543,216,1.410136938
1526585571,403,1.448486924
1526585597,589,1.33511138
1526585622,746,1.32622838
1526585641,884,1.288025141
1526585645,905,1.267424226
1526585661,1009,1.445415735
1526585672,1091,1.543118238
1526585691,1211,1.51373148
1526585691,1216,1.537189245
1526585700,1280,1.344519615
1526585705,1308,1.349643588
1526585769,1743,1.364352345
1526585774,1783,1.520819902
1526585774,1786,1.633756995
1526585780,1815,1.575697899
1526585788,1877,1.437663317
1526585790,1888,1.544302344
1526585811,2026,1.587474227
1526585824,2112,1.643143892
1526585849,2292,1.37769115
1526585854,2313,1.467341542
1526585866,2400,1.464882493
1526585883,2508,1.381334424
1526585885,2526,1.393868804
1526585894,2595,1.342340231
1526585916,2740,1.475311041
1526585931,2839,1.486050606
1526585935,2866,1.410882235
1526585937,2877,1.241321802
1526585960,3033,1.214491248
1526585980,3173,1.34505415
1526585995,3275,1.272368073
1526586001,3319,1.357198954
1526586001,3320,1.324525237
1526586008,3365,1.299569488
1526586047,3620,1.312632084
1526586065,3744,1.252434254
1526586066,3745,1.254449725
1526586067,3753,1.268243909
1526586069,3769,1.194860339
1526586082,3848,1.211539268
1526586101,3971,1.359688044
1526586105,4000,1.300580621
1526586109,4021,1.381287694
1526586123,4111,1.290269852
1526586144,4246,1.249512672
1526586149,4276,1.233188272
1526586176,4447,1.266062617
1526586195,4569,1.272307873
1526586206,4641,1.450582027
1526586254,4943,1.379827261
1526586271,5054,1.152044058
1526586286,5147,1.363644004
1526586318,5347,1.188358545
1526586334,5456,1.177917242
1526586345,5524,1.217280865
1526586356,5597,1.213327408
1526586371,5687,1.382747412
1526586385,5774,1.205187082
1526586435,6096,1.234098077
1526586453,6206,1.21938014
1526586473,6334,1.216810703
1526586504,6528,1.237393379
1526586558,6876,1.210626125
1526586580,7010,1.273170233
1526586589,7069,1.104193807
1526586607,7184,1.330606222
1526586614,7226,1.351489782
1526586615,7230,1.194721818
1526586632,7338,1.157234669
1526586634,7350,1.183286428
1526586669,7576,1.163692355
1526586671,7594,1.374393225
1526586692,7720,1.235154867
1526586707,7821,1.237521052
1526586761,8168,1.292098284
1526586770,8219,1.238755465
1526586779,8280,1.221273065
1526586791,8359,1.01105392
1526586796,8391,1.230007052
1526586797,8398,1.312642336
1526586811,8486,1.24381566
1526586833,8619,1.183721066
1526586879,8911,1.245614886
1526586919,9166,1.100860596
1526586929,9236,1.315650225
1526586952,9385,1.207143664
1526586953,9389,1.287664294
1526586975,9524,1.140141726
1526586978,9543,1.187755466
1526586992,9634,1.136185765
1526586994,9648,1.040967703
1526587024,9836,1.225059986
1526587024,9839,1.162589908
1526587042,9952,1.212424397
1526587058,10051,1.203645945
1526587061,10073,1.180382609
1526587068,10114,1.250024796
1526587084,10215,1.086785436
1526587102,10328,1.135894775
1526587104,10341,1.19483459
1526587109,10377,1.053016901
1526587110,10380,1.131175041
1526587139,10563,1.307321548
1526587144,10594,1.260489941
1526587158,10683,1.102825284
1526587178,10808,1.191357493
1526587183,10841,1.325445652
1526587185,10854,1.249050975
1526587191,10891,1.289868474
1526587193,10901,1.147554517
1526587198,10935,1.21298039
1526587206,10984,1.173333406
1526587209,11003,1.110537648
