Wall time,Step,Value
1526585515,25,60.15625
1526585519,57,64.0625
1526585519,60,68.75
1526585536,171,67.1875
1526585543,216,62.5
1526585571,403,72.65625
1526585597,589,75.78125
1526585622,746,85.9375
1526585641,884,80.46875
1526585645,905,77.34375
1526585661,1009,82.03125
1526585672,1091,86.71875
1526585691,1211,84.375
1526585691,1216,83.59375
1526585700,1280,82.03125
1526585705,1308,85.9375
1526585769,1743,82.03125
1526585774,1783,85.15625
1526585774,1786,83.59375
1526585780,1815,81.25
1526585788,1877,89.84375
1526585790,1888,75.78125
1526585811,2026,82.8125
1526585824,2112,81.25
1526585849,2292,82.8125
1526585854,2313,89.84375
1526585866,2400,83.59375
1526585883,2508,82.8125
1526585885,2526,78.125
1526585894,2595,88.28125
1526585916,2740,84.375
1526585931,2839,86.71875
1526585935,2866,89.0625
1526585937,2877,83.59375
1526585960,3033,86.71875
1526585980,3173,87.5
1526585995,3275,83.59375
1526586001,3319,85.15625
1526586001,3320,86.71875
1526586008,3365,88.28125
1526586047,3620,89.0625
1526586065,3744,88.28125
1526586066,3745,89.84375
1526586067,3753,85.9375
1526586069,3769,88.28125
1526586082,3848,89.84375
1526586101,3971,88.28125
1526586105,4000,83.59375
1526586109,4021,87.5
1526586123,4111,83.59375
1526586144,4246,87.5
1526586149,4276,88.28125
1526586176,4447,84.375
1526586195,4569,90.625
1526586206,4641,84.375
1526586254,4943,89.0625
1526586271,5054,89.0625
1526586286,5147,89.0625
1526586318,5347,84.375
1526586334,5456,89.84375
1526586345,5524,85.9375
1526586356,5597,87.5
1526586371,5687,84.375
1526586385,5774,85.15625
1526586435,6096,87.5
1526586453,6206,89.0625
1526586473,6334,84.375
1526586504,6528,85.9375
1526586558,6876,91.40625
1526586580,7010,91.40625
1526586589,7069,80.46875
1526586607,7184,85.9375
1526586614,7226,88.28125
1526586615,7230,84.375
1526586632,7338,86.71875
1526586634,7350,87.5
1526586669,7576,87.5
1526586671,7594,90.625
1526586692,7720,89.84375
1526586707,7821,90.625
1526586761,8168,91.40625
1526586770,8219,90.625
1526586779,8280,79.6875
1526586791,8359,90.625
1526586796,8391,86.71875
1526586797,8398,90.625
1526586811,8486,88.28125
1526586833,8619,87.5
1526586879,8911,90.625
1526586919,9166,93.75
1526586929,9236,92.1875
1526586952,9385,93.75
1526586953,9389,92.96875
1526586975,9524,85.9375
1526586978,9543,89.84375
1526586992,9634,89.84375
1526586994,9648,86.71875
1526587024,9836,87.5
1526587024,9839,91.40625
1526587042,9952,79.6875
1526587058,10051,92.1875
1526587061,10073,92.96875
1526587068,10114,84.375
1526587084,10215,86.71875
1526587102,10328,89.84375
1526587104,10341,91.40625
1526587109,10377,89.0625
1526587110,10380,89.0625
1526587139,10563,89.0625
1526587144,10594,88.28125
1526587158,10683,87.5
1526587178,10808,92.1875
1526587183,10841,92.96875
1526587185,10854,95.3125
1526587191,10891,89.0625
1526587193,10901,92.96875
1526587198,10935,87.5
1526587206,10984,85.15625
1526587209,11003,88.28125
1526587212,11020,82.8125
1526587220,11072,90.625
1526587243,11217,87.5
1526587247,11241,89.84375
1526587248,11251,85.15625
1526587263,11343,83.59375
1526587275,11423,87.5
1526587288,11505,91.40625
1526587304,11602,89.0625
1526587323,11722,90.625
1526587357,11939,81.25
1526587381,12093,86.71875
1526587383,12102,94.53125
1526587411,12283,85.15625
1526587411,12284,86.71875
1526587415,12306,89.84375
1526587432,12411,90.625
1526587445,12500,92.96875
1526587448,12513,88.28125
1526587461,12598,90.625
1526587464,12612,92.1875
1526587476,12696,90.625
1526587490,12781,86.71875
1526587500,12841,90.625
1526587510,12904,85.9375
1526587511,12913,93.75
1526587524,12998,88.28125
1526587542,13109,93.75
1526587549,13153,84.375
1526587553,13179,87.5
1526587573,13307,82.03125
1526587573,13309,88.28125
1526587575,13319,83.59375
1526587586,13397,92.1875
1526587598,13470,89.84375
1526587628,13660,89.0625
1526587640,13735,89.84375
1526587643,13758,91.40625
1526587648,13785,85.15625
1526587669,13913,90.625
1526587706,14152,89.84375
1526587723,14261,90.625
1526587734,14333,89.84375
1526587759,14489,84.375
1526587760,14496,91.40625
1526587762,14506,91.40625
1526587768,14547,89.84375
1526587782,14636,87.5
1526587788,14676,86.71875
1526587796,14721,89.0625
1526587803,14771,88.28125
1526587805,14783,86.71875
1526587813,14830,89.84375
1526587828,14930,92.96875
1526587829,14934,85.9375
1526587844,15030,84.375
1526587856,15105,90.625
1526587858,15118,89.0625
1526587865,15163,90.625
1526587866,15170,90.625
1526587868,15183,85.15625
1526587879,15251,88.28125
1526587888,15305,89.0625
1526587888,15308,85.9375
1526587918,15496,92.1875
1526587919,15503,93.75
1526587924,15536,91.40625
1526587940,15637,92.1875
1526587944,15662,87.5
1526587970,15831,90.625
1526587978,15882,86.71875
1526588011,16098,91.40625
1526588029,16202,91.40625
1526588031,16218,92.1875
1526588052,16350,87.5
1526588083,16548,91.40625
1526588098,16639,92.96875
1526588122,16797,89.0625
1526588133,16861,90.625
1526588224,17439,85.9375
1526588228,17464,92.1875
1526588243,17558,91.40625
1526588244,17564,89.84375
1526588245,17572,89.0625
1526588257,17651,91.40625
1526588263,17691,87.5
1526588277,17779,92.96875
1526588315,18016,91.40625
1526588323,18075,89.0625
1526588348,18232,92.1875
1526588362,18318,92.1875
1526588400,18559,89.84375
1526588405,18596,93.75
1526588415,18656,92.96875
1526588470,19001,90.625
1526588515,19294,92.1875
1526588529,19379,89.0625
1526588542,19456,89.0625
1526588550,19508,89.84375
1526588550,19510,92.96875
1526588586,19734,87.5
1526588593,19780,89.84375
1526588600,19828,90.625
1526588608,19881,87.5
1526588609,19889,89.84375
1526588611,19900,93.75
1526588632,20028,87.5
1526588671,20279,89.84375
1526588674,20300,87.5
1526588679,20327,90.625
1526588707,20501,91.40625
1526588721,20593,90.625
1526588734,20673,91.40625
1526588752,20786,91.40625
1526588788,21009,84.375
1526588793,21044,89.0625
1526588806,21124,92.1875
1526588806,21125,92.1875
1526588812,21161,94.53125
1526588832,21293,88.28125
1526588859,21466,85.9375
1526588889,21659,92.96875
1526588952,22055,91.40625
1526588956,22079,88.28125
1526589007,22403,92.96875
1526589009,22417,90.625
1526589011,22427,92.1875
1526589027,22528,85.9375
1526589030,22545,90.625
1526589031,22554,84.375
1526589033,22566,89.84375
1526589054,22701,91.40625
1526589059,22737,86.71875
1526589065,22773,88.28125
1526589093,22946,87.5
1526589112,23066,92.96875
1526589140,23243,90.625
1526589169,23430,90.625
1526589189,23557,89.84375
1526589207,23673,92.1875
1526589255,23971,91.40625
1526589268,24056,83.59375
1526589271,24075,92.1875
1526589288,24187,86.71875
1526589290,24195,93.75
1526589301,24266,88.28125
1526589315,24358,85.15625
1526589344,24536,88.28125
1526589350,24574,86.71875
1526589352,24587,86.71875
1526589371,24712,87.5
1526589373,24727,92.1875
1526589391,24837,92.96875
1526589399,24892,92.96875
1526589405,24926,91.40625
1526589411,24966,88.28125
1526589428,25075,89.0625
1526589499,25522,92.96875
1526589515,25624,86.71875
1526589515,25627,88.28125
1526589532,25734,95.3125
1526589550,25850,91.40625
1526589568,25963,89.84375
1526589583,26057,88.28125
1526589584,26063,94.53125
1526589604,26192,97.65625
1526589630,26352,92.1875
1526589646,26457,87.5
1526589647,26463,85.9375
1526589719,26922,93.75
1526589737,27039,88.28125
1526589741,27062,89.0625
1526589757,27165,90.625
1526589833,27641,92.1875
1526589846,27722,95.3125
1526589868,27861,92.96875
1526589909,28124,92.1875
1526589926,28229,87.5
1526589944,28344,87.5
1526589956,28421,90.625
1526589981,28575,87.5
1526590021,28823,88.28125
1526590042,28962,92.1875
1526590086,29236,92.1875
1526590110,29392,89.84375
1526590123,29473,83.59375
1526590135,29545,92.96875
1526590139,29571,81.25
1526590183,29846,87.5
1526590200,29955,92.1875
1526590206,29997,90.625
1526590209,30007,91.40625
1526590232,30157,89.84375
1526590234,30173,91.40625
1526590245,30241,91.40625
1526590251,30277,94.53125
1526590257,30313,86.71875
1526590278,30450,91.40625
1526590280,30459,93.75
1526590303,30604,91.40625
1526590306,30623,89.0625
1526590343,30861,85.15625
1526590370,31028,89.0625
1526590390,31153,92.1875
1526590398,31205,85.9375
1526590401,31224,89.0625
1526590415,31309,93.75
1526590418,31329,93.75
1526590458,31589,93.75
1526590471,31671,87.5
1526590496,31825,89.84375
1526590506,31889,89.0625
1526590517,31956,88.28125
1526590519,31975,85.9375
1526590568,32281,88.28125
1526590574,32320,89.84375
1526590581,32362,86.71875
1526590615,32575,92.1875
1526590636,32706,92.96875
1526590671,32932,90.625
1526590680,32992,89.0625
1526590689,33045,90.625
1526590698,33102,85.9375
1526590702,33128,91.40625
1526590708,33168,85.15625
1526590729,33300,93.75
1526590733,33321,89.0625
1526590736,33342,94.53125
1526590754,33460,92.96875
1526590782,33636,88.28125
1526590816,33849,88.28125
1526590826,33913,86.71875
1526590844,34024,91.40625
1526590874,34220,89.0625
1526590878,34244,91.40625
1526590892,34332,88.28125
1526590895,34352,91.40625
1526590921,34519,86.71875
1526590939,34634,92.1875
1526590953,34718,89.0625
1526590979,34885,92.1875
1526591023,35164,92.1875
1526591030,35208,93.75
1526591043,35294,94.53125
1526591046,35311,88.28125
1526591053,35354,87.5
