Wall time,Step,Value
1526585515,25,2.448435783
1526585519,57,2.646368027
1526585519,60,2.499520063
1526585536,171,2.101535797
1526585543,216,2.669962645
1526585571,403,2.22385025
1526585597,589,2.260585308
1526585622,746,2.164369822
1526585641,884,2.484345436
1526585645,905,2.37576437
1526585661,1009,2.020068884
1526585672,1091,1.958881021
1526585691,1211,2.005173922
1526585691,1216,2.083643675
1526585700,1280,2.438441277
1526585705,1308,2.174955368
1526585769,1743,2.141011715
1526585774,1783,1.978384733
1526585774,1786,1.919988275
1526585780,1815,1.904816151
1526585788,1877,2.149571657
1526585790,1888,2.126700401
1526585811,2026,2.11765027
1526585824,2112,1.802205443
1526585849,2292,2.012514114
1526585854,2313,1.863088846
1526585866,2400,2.077519894
1526585883,2508,1.924925327
1526585885,2526,2.03999424
1526585894,2595,1.995517731
1526585916,2740,2.007484913
1526585931,2839,2.023531437
1526585935,2866,2.024187088
1526585937,2877,2.119729042
1526585960,3033,2.161624908
1526585980,3173,1.949363708
1526585995,3275,2.130616426
1526586001,3319,2.044681311
1526586001,3320,2.025430918
1526586008,3365,1.996231794
1526586047,3620,2.09222126
1526586065,3744,2.168884754
1526586066,3745,2.089918375
1526586067,3753,2.207171202
1526586069,3769,2.075106621
1526586082,3848,2.180154562
1526586101,3971,2.127743006
1526586105,4000,2.10665679
1526586109,4021,1.987306833
1526586123,4111,1.961131692
1526586144,4246,1.97541368
1526586149,4276,2.111561537
1526586176,4447,2.004239321
1526586195,4569,2.014034033
1526586206,4641,2.107524395
1526586254,4943,1.912025332
1526586271,5054,2.062950134
1526586286,5147,2.034505367
1526586318,5347,2.134606123
1526586334,5456,2.002300262
1526586345,5524,2.085021973
1526586356,5597,2.031500578
1526586371,5687,2.125173569
1526586385,5774,2.063383341
1526586435,6096,2.104669333
1526586453,6206,2.070947647
1526586473,6334,2.117376804
1526586504,6528,2.039772511
1526586558,6876,2.114407063
1526586580,7010,2.15055275
1526586589,7069,2.158631802
1526586607,7184,2.086581469
1526586614,7226,2.000191689
1526586615,7230,2.136104822
1526586632,7338,2.146234989
1526586634,7350,2.08079958
1526586669,7576,2.128895998
1526586671,7594,1.931916714
1526586692,7720,2.029773474
1526586707,7821,2.088354349
1526586761,8168,2.234234333
1526586770,8219,1.826722622
1526586779,8280,2.031473875
1526586791,8359,2.19545126
1526586796,8391,2.004935741
1526586797,8398,2.05769968
1526586811,8486,2.1086514
1526586833,8619,2.11668539
1526586879,8911,2.005340815
1526586919,9166,1.906901956
1526586929,9236,2.059783936
1526586952,9385,1.979513645
1526586953,9389,1.925910234
1526586975,9524,1.986075521
1526586978,9543,2.067127466
1526586992,9634,2.246109009
1526586994,9648,2.039354801
1526587024,9836,2.109747887
1526587024,9839,2.195389748
1526587042,9952,1.950909257
1526587058,10051,1.903151512
1526587061,10073,2.021513939
1526587068,10114,2.067652225
1526587084,10215,2.11227107
1526587102,10328,2.325960159
1526587104,10341,2.009864092
1526587109,10377,2.096556664
1526587110,10380,2.037670612
1526587139,10563,2.047686577
1526587144,10594,2.38538599
1526587158,10683,1.992803693
1526587178,10808,1.958678722
1526587183,10841,2.091267109
1526587185,10854,1.903419733
1526587191,10891,1.963286638
1526587193,10901,1.925869226
1526587198,10935,2.239961147
1526587206,10984,2.213793278
1526587209,11003,2.056513309
1526587212,11020,2.117438316
1526587220,11072,1.98817718
1526587243,11217,1.978458881
1526587247,11241,2.03618145
1526587248,11251,2.199497223
1526587263,11343,2.076238155
1526587275,11423,2.132951021
1526587288,11505,2.128527641
1526587304,11602,2.015796661
1526587323,11722,2.034095287
1526587357,11939,2.222681761
1526587381,12093,2.229907036
1526587383,12102,1.960409164
1526587411,12283,2.048575401
1526587411,12284,2.008134842
1526587415,12306,2.021200657
1526587432,12411,2.073369503
1526587445,12500,1.882931948
1526587448,12513,2.108705044
1526587461,12598,2.131407499
1526587464,12612,2.023013115
1526587476,12696,2.085036993
1526587490,12781,2.016193867
1526587500,12841,1.83039856
