Wall time,Step,Value
1525526011.833863,25,1524.777099609375
1525526012.3959384,57,1641.3673095703125
1525526012.448777,60,1686.9129638671875
1525526023.0267928,589,1505.355712890625
1525526029.5676959,905,1337.2978515625
1525526033.115734,1091,1309.8896484375
1525526035.725382,1211,1335.7252197265625
1525526047.6147144,1783,1416.254150390625
1525526052.6814914,2026,1344.0123291015625
1525526054.4792812,2112,1383.5775146484375
1525526058.5605721,2313,1482.7528076171875
1525526064.4559085,2595,1322.3802490234375
1525526067.5516653,2740,1448.4222412109375
1525526070.0815356,2866,1367.1947021484375
1525526076.3789845,3173,1445.2647705078125
1525526078.4708943,3275,1285.525634765625
1525526085.6665618,3620,1455.5926513671875
1525526088.1335435,3744,1518.040283203125
1525526088.1525137,3745,1368.0340576171875
1525526088.7707295,3753,1416.48486328125
1525526089.0664854,3769,1627.4725341796875
1525526090.7337554,3848,1583.3848876953125
1525526093.7042222,4000,1446.854248046875
1525526094.3203936,4021,1529.8614501953125
1525526115.7636662,5054,1323.1209716796875
1525526126.8391607,5597,1656.7960205078125
1525526130.4965804,5774,1480.489013671875
1525526142.5116713,6334,1619.6734619140625
1525526153.5040166,6876,1463.0360107421875
1525526159.7821357,7184,1512.2861328125
1525526160.8593817,7230,1475.6417236328125
1525526163.2782235,7350,1428.015869140625
1525526171.3757465,7720,1451.0245361328125
1525526173.4540153,7821,1581.991943359375
1525526181.5964944,8219,1469.4761962890625
1525526184.96365,8391,1503.31103515625
1525526196.3395386,8911,1545.3360595703125
1525526209.2518926,9543,1508.093994140625
1525526211.136944,9634,1553.923095703125
1525526211.3853338,9648,1478.4649658203125
1525526215.3360207,9839,1496.5634765625
1525526217.6050107,9952,1577.2901611328125
1525526226.0039382,10341,1474.3453369140625
1525526226.7093873,10380,1591.4205322265625
1525526230.466891,10563,1518.892822265625
1525526231.0157309,10594,1572.106201171875
1525526232.8419673,10683,1394.37451171875
1525526235.5656369,10808,1493.17333984375
1525526236.1529517,10841,1596.184326171875
1525526238.0581489,10935,1463.5665283203125
1525526238.9205694,10984,1495.69580078125
1525526239.50143,11003,1461.3272705078125
1525526243.758458,11217,1450.9632568359375
1525526244.8310907,11251,1624.9256591796875
1525526254.577079,11722,1484.6595458984375
1525526266.4922242,12306,1513.4720458984375
1525526270.193584,12500,1517.1302490234375
1525526280.8625233,12998,1611.281005859375
1525526283.3653963,13109,1612.35009765625
1525526284.6305237,13179,1585.432373046875
1525526300.3074393,13913,1566.2962646484375
1525526307.3732376,14261,1656.8243408203125
1525526308.929417,14333,1569.79296875
1525526312.0273144,14489,1540.254638671875
1525526312.1526768,14496,1492.7896728515625
1525526313.3116276,14547,1500.0816650390625
1525526315.177757,14636,1507.3779296875
1525526321.3239768,14934,1647.1685791015625
1525526323.7289324,15030,1571.3580322265625
1525526325.3209724,15105,1642.35791015625
1525526326.5289109,15170,1404.9913330078125
1525526328.2509634,15251,1559.043701171875
1525526333.2102306,15496,1458.774658203125
1525526336.2517645,15637,1624.2591552734375
1525526340.2665267,15831,1550.027099609375
1525526345.6391253,16098,1599.934326171875
1525526348.299652,16218,1528.526123046875
1525526355.5172293,16548,1559.099609375
1525526357.4079278,16639,1581.3917236328125
1525526360.55156,16797,1620.72900390625
1525526361.9415898,16861,1636.4716796875
1525526373.9318228,17439,1677.3765869140625
1525526376.7651703,17558,1503.2149658203125
1525526376.8763037,17564,1523.34521484375
1525526381.2843893,17779,1521.512451171875
1525526386.322082,18016,1629.5826416015625
1525526387.4053593,18075,1585.101806640625
1525526398.0391407,18596,1575.534423828125
1525526416.255651,19456,1573.418212890625
1525526417.4592621,19510,1571.0560302734375
1525526421.9748688,19734,1629.27490234375
1525526422.8103836,19780,1656.37744140625
1525526425.0283213,19889,1570.687744140625
1525526425.2249258,19900,1532.84423828125
1525526441.5372856,20673,1505.7574462890625
1525526449.1834471,21044,1637.3741455078125
1525526454.612601,21293,1522.059814453125
1525526462.1880515,21659,1580.520263671875
1525526477.887309,22427,1589.074951171875
1525526480.711066,22545,1540.84814453125
1525526484.6821935,22737,1626.558349609375
1525526485.3425095,22773,1579.759033203125
1525526503.759925,23673,1697.2132568359375
1525526510.3147237,23971,1541.067626953125
1525526514.626323,24187,1600.44189453125
1525526546.6707304,25734,1590.1260986328125
1525526562.032857,26457,1568.868896484375
1525526571.626201,26922,1539.59375
1525526574.3999853,27062,1611.5101318359375
1525526586.7662308,27641,1593.17626953125
1525526588.4467454,27722,1570.3995361328125
1525526601.015542,28344,1568.1309814453125
1525526613.9725635,28962,1592.610595703125
1525526619.6074777,29236,1664.188232421875
1525526624.354841,29473,1553.6092529296875
1525526634.888905,29997,1538.741455078125
1525526640.5512607,30241,1631.62158203125
1525526641.197603,30277,1553.314208984375
1525526642.071671,30313,1591.1180419921875
1525526644.9598544,30459,1453.18115234375
1525526648.4118805,30623,1564.5257568359375
1525526662.945011,31309,1591.236572265625
1525526663.3103166,31329,1547.3123779296875
1525526683.6280231,32320,1471.360107421875
1525526692.0974405,32706,1638.4512939453125
1525526700.216344,33102,1577.8135986328125
1525526700.6951084,33128,1575.414794921875
1525526701.4167175,33168,1563.4427490234375
1525526711.0185475,33636,1639.4117431640625
1525526717.2655737,33913,1618.5732421875
1525526723.9761925,34244,1529.8714599609375
1525526725.8046522,34332,1510.8768310546875
1525526733.7051568,34718,1642.5872802734375
1525526745.8206413,35294,1539.5439453125
1525526748.476803,35416,1506.28662109375
1525526753.2534823,35655,1548.355712890625
1525526753.5289176,35670,1547.111572265625
1525526758.9064329,35928,1568.041748046875
1525526763.5797803,36160,1556.3328857421875
1525526768.2171965,36363,1607.204833984375
1525526768.86007,36399,1545.8509521484375
1525526771.998639,36548,1567.23193359375
1525526776.102812,36749,1541.025634765625
1525526776.9645972,36798,1533.1326904296875
1525526779.920863,36937,1606.0128173828125
1525526784.7301207,37180,1576.6485595703125
1525526797.4893167,37782,1591.2313232421875
1525526803.4336064,38074,1532.729248046875
1525526804.594792,38126,1605.2322998046875
1525526813.9169598,38590,1645.3519287109375
1525526828.729107,39291,1633.06884765625
1525526830.4751027,39374,1601.6541748046875
1525526832.5348506,39475,1525.936767578125
1525526834.0551157,39546,1521.14453125
1525526835.7160378,39627,1558.70751953125
1525526838.8901367,39792,1635.090087890625
1525526840.8639812,39889,1613.2366943359375
1525526840.8823156,39890,1621.974365234375
1525526847.37928,40182,1757.4796142578125
1525526850.3907094,40323,1645.6573486328125
1525526860.418955,40814,1594.0758056640625
1525526863.982887,40998,1606.79296875
1525526864.3122191,41003,1588.448974609375
1525526865.069777,41045,1534.185302734375
1525526871.0780325,41310,1637.5146484375
1525526877.1122148,41606,1613.1759033203125
1525526886.0792449,42051,1518.488525390625
1525526891.7749698,42328,1643.384033203125
1525526894.5254502,42467,1540.1370849609375
1525526906.1663063,43005,1650.2691650390625
1525526909.8745162,43196,1702.9898681640625
1525526915.9517324,43492,1552.790283203125
1525526917.1428213,43545,1672.576416015625
1525526918.0748303,43596,1619.472412109375
1525526918.739149,43620,1534.9515380859375
1525526918.9804907,43633,1608.474365234375
1525526922.6840239,43797,1617.4527587890625
1525526923.0876107,43806,1566.6492919921875
1525526923.2573023,43815,1580.571044921875
1525526926.4466426,43978,1592.03125
1525526927.750392,44037,1724.7264404296875
1525526929.7336347,44134,1518.2205810546875
1525526930.5465386,44179,1641.3643798828125
1525526934.8745348,44392,1558.575927734375
1525526935.338202,44405,1616.6395263671875
1525526938.6122627,44574,1604.4788818359375
1525526942.790015,44779,1532.08740234375
1525526948.560166,45028,1644.639404296875
1525526956.7863796,45429,1636.26806640625
1525526957.700151,45480,1594.4559326171875
1525526978.6917727,46484,1619.54345703125
1525526981.8096719,46632,1664.2083740234375
1525526988.3167844,46955,1591.00537109375
1525526991.820332,47124,1550.2264404296875
1525526992.1639638,47143,1646.61474609375
1525527002.6075528,47627,1671.620849609375
1525527018.6704655,48423,1549.190673828125
1525527022.5889952,48617,1644.81396484375
1525527023.3462336,48659,1534.248779296875
1525527024.0479083,48699,1563.7296142578125
1525527027.162692,48818,1617.35791015625
1525527036.4788048,49284,1577.270751953125
1525527041.2374115,49511,1601.3193359375
1525527047.3558834,49812,1633.6336669921875
1525527048.8704348,49895,1628.9658203125
1525527052.3169415,50031,1563.0330810546875
1525527054.5059476,50139,1602.419677734375
1525527054.524402,50140,1657.96435546875
1525527055.383327,50188,1649.609130859375
1525527062.9186275,50558,1627.028564453125
1525527065.080776,50667,1645.7958984375
1525527066.202107,50716,1596.3258056640625
1525527073.031574,51055,1537.492919921875
1525527087.1508856,51719,1516.90283203125
1525527091.0905788,51912,1613.289306640625
1525527103.98744,52521,1542.4075927734375
1525527110.8499546,52865,1606.1473388671875
1525527113.954955,53014,1644.690673828125
